p	T	rho	z
9.6650e-10	900.30	2.5820e-11	1028.6
9.6970e-10	900.60	2.5900e-11	1028.1
9.9530e-10	902.70	2.6530e-11	1023.8
1.0280e-09	903.50	2.7380e-11	1018.3
1.0620e-09	902.80	2.8310e-11	1012.9
1.0970e-09	901.00	2.9310e-11	1007.5
1.1330e-09	898.10	3.0380e-11	1002.1
1.1710e-09	895.10	3.1490e-11	996.77
1.2100e-09	891.40	3.2680e-11	991.40
1.2500e-09	888.00	3.3900e-11	986.04
1.2920e-09	884.40	3.5180e-11	980.69
1.3350e-09	880.90	3.6510e-11	975.34
1.3800e-09	877.50	3.7880e-11	970.01
1.4260e-09	874.60	3.9290e-11	964.69
1.4740e-09	871.90	4.0750e-11	959.37
1.5240e-09	869.90	4.2230e-11	954.07
1.5750e-09	868.00	4.3750e-11	948.77
1.6280e-09	866.80	4.5300e-11	943.48
1.6830e-09	865.70	4.6900e-11	938.20
1.7400e-09	865.20	4.8520e-11	932.93
1.7990e-09	865.00	5.0170e-11	927.67
1.8590e-09	865.10	5.1860e-11	922.42
1.9220e-09	865.70	5.3570e-11	917.18
1.9860e-09	866.40	5.5330e-11	911.95
2.0520e-09	867.40	5.7120e-11	906.72
2.1210e-09	868.70	5.8950e-11	901.51
2.1910e-09	870.20	6.0810e-11	896.30
2.2640e-09	871.60	6.2740e-11	891.11
2.3390e-09	873.30	6.4690e-11	885.92
2.4160e-09	874.90	6.6710e-11	880.74
2.4950e-09	876.70	6.8770e-11	875.57
2.5770e-09	878.40	7.0890e-11	870.41
2.6610e-09	879.90	7.3080e-11	865.26
2.7470e-09	881.40	7.5340e-11	860.12
2.8360e-09	882.70	7.7670e-11	854.99
2.9270e-09	883.80	8.0090e-11	849.87
3.0220e-09	884.70	8.2600e-11	844.75
3.1190e-09	885.30	8.5210e-11	839.65
3.2190e-09	885.50	8.7920e-11	834.55
3.3220e-09	885.50	9.0760e-11	829.47
3.4280e-09	885.00	9.3720e-11	824.39
3.5370e-09	884.30	9.6810e-11	819.32
3.6500e-09	883.10	1.0000e-10	814.26
3.7670e-09	881.40	1.0350e-10	809.21
3.8870e-09	879.20	1.0700e-10	804.17
4.0110e-09	876.70	1.1080e-10	799.14
4.1400e-09	873.80	1.1470e-10	794.12
4.2730e-09	870.10	1.1900e-10	789.10
4.4100e-09	866.00	1.2340e-10	784.10
